Iteration	Replicate_ID	Posterior	Likelihood	Prior	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
108	0	-257.081	-269.797	12.7159	0.1995469	2.98266e-06	2.98266e-06	2.98266e-06	2.98266e-06	2.982664e-06	0.121878	0.124501	0.126548	0.12927	0.12552	0.02559379
109	1	-255.084	-268.758	13.6739	0.1896644	1.26454e-06	1.26454e-06	1.26454e-06	1.26454e-06	1.264543e-06	0.0835195	0.0925211	0.100069	0.110855	0.09622128	0.1230673
110	0	-256.637	-269.32	12.6827	0.1821337	2.83003e-06	2.83003e-06	2.83003e-06	2.83003e-06	2.830033e-06	0.0908777	0.103686	0.114709	0.130876	0.1090581	0.1585316
111	1	-255.906	-269.193	13.2871	0.1879942	1.40119e-06	1.40119e-06	1.40119e-06	1.40119e-06	1.40119e-06	0.0699765	0.0886746	0.106317	0.134725	0.09709592	0.2847304
112	0	-255.162	-268.476	13.3141	0.1960244	1.56387e-06	1.56387e-06	1.56387e-06	1.56387e-06	1.563865e-06	0.112949	0.119612	0.124982	0.132355	0.1222673	0.06891563
113	1	-267.914	-274.03	6.1153	0.1548814	0.00159986	0.00159986	0.00159986	0.00159986	0.001599859	0.0551529	0.0778385	0.101354	0.143043	0.08882152	0.4142388
114	0	-257.008	-270.002	12.9945	0.1660889	1.78754e-06	1.78754e-06	1.78754e-06	1.78754e-06	1.787544e-06	0.0647145	0.085106	0.104981	0.13806	0.09452246	0.3293369
115	1	-265.027	-273.124	8.09711	0.1114322	0.000242258	0.000242258	0.000242258	0.000242258	0.0002422576	0.0695173	0.089226	0.108031	0.138659	0.09817938	0.3001007
116	0	-261.662	-273.124	11.4623	0.04645803	1.23582e-05	1.23582e-05	1.23582e-05	1.23582e-05	1.235815e-05	0.0856689	0.0923524	0.0978242	0.105456	0.09504894	0.09032213
117	1	-268.98	-276.048	7.0675	0.0622474	0.000477985	0.000477985	0.000477985	0.000477985	0.000477985	0.00423506	0.0136105	0.0332938	0.106999	0.02128723	1.40367
118	0	-256.518	-269.327	12.8089	0.1936055	2.25559e-06	2.25559e-06	2.25559e-06	2.25559e-06	2.255591e-06	0.107354	0.120153	0.130983	0.146598	0.125451	0.1354206
119	1	-261.769	-273.485	11.7156	0.04060686	4.64138e-06	4.64138e-06	4.64138e-06	4.64138e-06	4.641382e-06	0.0214274	0.0427553	0.0725895	0.144842	0.05570988	0.8306045
120	0	-255.172	-268.668	13.4963	0.191156	1.17677e-06	1.17677e-06	1.17677e-06	1.17677e-06	1.176773e-06	0.101752	0.114443	0.125228	0.140847	0.1197141	0.1413209
121	1	-257.334	-270.346	13.0121	0.1754021	1.50022e-06	1.50022e-06	1.50022e-06	1.50022e-06	1.50022e-06	0.0748354	0.0987693	0.12217	0.161242	0.1098481	0.3336442
122	0	-256.386	-269.019	12.6326	0.1991725	3.18075e-06	3.18075e-06	3.18075e-06	3.18075e-06	3.180746e-06	0.1045	0.112267	0.118607	0.127422	0.1153933	0.08619937
123	1	-254.653	-268.069	13.4168	0.2007626	1.35919e-06	1.35919e-06	1.35919e-06	1.35919e-06	1.359188e-06	0.111113	0.119535	0.126418	0.136001	0.1229287	0.0878481
124	0	-254.802	-268.92	14.1186	0.1996107	1.03205e-06	1.03205e-06	1.03205e-06	1.03205e-06	1.032045e-06	0.0728979	0.0783096	0.0827265	0.0888679	0.08048776	0.08610053
125	1	-254.686	-267.954	13.2681	0.2023748	1.82939e-06	1.82939e-06	1.82939e-06	1.82939e-06	1.829386e-06	0.0924942	0.100525	0.107147	0.116451	0.1037834	0.100109
126	0	-253.705	-267.479	13.7749	0.1925165	1.08354e-06	1.08354e-06	1.08354e-06	1.08354e-06	1.083541e-06	0.1038	0.109623	0.114304	0.120716	0.111939	0.06562075
127	1	-256.407	-268.975	12.5678	0.2007422	3.30576e-06	3.30576e-06	3.30576e-06	3.30576e-06	3.305759e-06	0.0980384	0.108127	0.116553	0.128546	0.1122608	0.1177603
128	0	-263.474	-273.501	10.027	0.1884875	3.25372e-05	3.25372e-05	3.25372e-05	3.25372e-05	3.25372e-05	0.0610917	0.0832873	0.105611	0.143982	0.09378747	0.3726301
129	1	-261.351	-274.643	13.2919	0.09672651	1.48368e-06	1.48368e-06	1.48368e-06	1.48368e-06	1.483682e-06	0.123383	0.130147	0.135579	0.143011	0.1328349	0.06416454
130	0	-264.165	-273.08	8.91452	0.1540663	0.000123629	0.000123629	0.000123629	0.000123629	0.0001236288	0.0878341	0.100955	0.11232	0.129099	0.1064862	0.1673973
131	1	-257.925	-270.832	12.9066	0.1735992	2.29111e-06	2.29111e-06	2.29111e-06	2.29111e-06	2.291114e-06	0.0566293	0.0738923	0.0906031	0.118223	0.08182221	0.3199216
132	0	-263.906	-273.551	9.64535	0.05245772	5.46373e-05	5.46373e-05	5.46373e-05	5.46373e-05	5.463733e-05	0.0792063	0.0961992	0.111648	0.135601	0.1036361	0.2336944
133	1	-255.32	-268.94	13.6197	0.198626	1.06436e-06	1.06436e-06	1.06436e-06	1.06436e-06	1.064363e-06	0.131488	0.13632	0.140142	0.145292	0.1382178	0.04338971
134	0	-263.354	-273.686	10.3319	0.141153	2.06905e-05	2.06905e-05	2.06905e-05	2.06905e-05	2.069055e-05	0.0457463	0.0708427	0.0990447	0.15338	0.08376508	0.5258451
135	1	-257.627	-270.563	12.9353	0.1897621	1.66253e-06	1.66253e-06	1.66253e-06	1.66253e-06	1.662528e-06	0.0552447	0.0790585	0.104044	0.148894	0.090695	0.4309392
136	0	-257.081	-269.944	12.8633	0.1958716	2.88275e-06	2.88275e-06	2.88275e-06	2.88275e-06	2.882746e-06	0.0829558	0.0917199	0.0990568	0.109522	0.09531777	0.120753
137	1	-264.087	-273.124	9.03645	0.140253	0.000106144	0.000106144	0.000106144	0.000106144	0.0001061437	0.0793033	0.0947464	0.108585	0.12973	0.10143	0.2139255
